title,genres,cast,director,overview
The Bride!,Science Fiction Horror Fantasy,Jessie Buckley Christian Bale Peter Sarsgaard,Maggie Gyllenhaal,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.
Return to Silent Hill,Mystery Drama Horror,Jeremy Irvine Hannah Emily Anderson Evie Templeton,Christophe Gans,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity."
War of the Worlds,Science Fiction Thriller,Ice Cube Eva Longoria Clark Gregg,Rich Lee,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world."
Whistle,Horror Mystery,Dafne Keen Sophie Nélisse Sky Yang,Corin Hardy,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down."
Vengeance,Action Thriller,Omar Chaparro Alejandro Speitzer Paola Nuñez,Rodrigo Valdes,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible."
Ready or Not: Here I Come,Horror Comedy,Samara Weaving Kathryn Newton Elijah Wood,Matt Bettinelli-Olpin,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all."
Anaconda,Adventure Comedy Horror,Jack Black Paul Rudd Steve Zahn,Tom Gormican,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals."
Spider-Man: No Way Home,Action Adventure Science Fiction,Tom Holland Zendaya Benedict Cumberbatch,Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
Humint,Thriller Action Drama,Zo In-sung Park Jeong-min Park Hae-joon,Ryoo Seung-wan,A South Korean agent hunts a drug ring in Russia and goes head-to-head with a North Korean operative — pulling both into peril and tangled secrets.
Pretty Lethal,Music Thriller Action Horror,Maddie Ziegler Lana Condor Iris Apatow,Vicky Jewson,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.
The Devil Wears Prada,Drama Comedy,Meryl Streep Anne Hathaway Emily Blunt,David Frankel,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine."
Mike & Nick & Nick & Alice,Comedy Science Fiction Crime,James Marsden Vince Vaughn Eiza González,BenDavid Grabinski,"Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine."
Starbright,Adventure Action,John Rhys-Davies Ted Levine Elisabeth Röhm,Francesco Lucente,"A young woman becomes the guardian of a fallen star, which she must protect from dangerous forces with the help of a brave stranger."
The Shadow's Edge,Action Crime Drama Thriller,Jackie Chan Zhang Zifeng Tony Leung Ka-fai,Larry Yang,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.
Roommates,Comedy,Sadie Sandler Chloe East Billy Bryk,Chandler Levack,"When shy college freshman Devon asks cool-girl Celeste to be her roommate, a blossoming friendship quickly spirals into a war of passive aggression."
Reminders of Him,Romance Drama,Maika Monroe Tyriq Withers Rudy Pankow,Vanessa Caswill,"When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance."
The Intouchables,Drama Comedy,François Cluzet Omar Sy Anne Le Ny,Éric Toledano,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
Interstellar,Adventure Drama Science Fiction,Matthew McConaughey Anne Hathaway Michael Caine,Christopher Nolan,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
Young Sister-In-Law,Romance,Kang Ye-na Si Hyeon Do Mo-se,Choi Woo-seong,"Three men and women start living together. Byeong-soo is chosen in a scenario contest and is picked to write a script for a movie, so he leaves the noisy city and moves in with his married senior from school. At the house is Ji-eun, the senior's wife and a young and sexy Bo-yeong.  The three living together leads to some risky situations!"
The House on Haunted Grounds,Horror,Logan Wallace Andrew Thomas Stuart Maxheimer,Brendan Rudnicki,"They walked into a haunted house with a history of possession and murder. The victims never came out, but the footage did."
xXx,Action Adventure Thriller Crime Drama,Vin Diesel Asia Argento Marton Csokas,Rob Cohen,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
180,Thriller Crime Drama,Prince Grootboom Noxolo Dlamini Danica De La Rey,Alex Yazbek,"When an unexpected road rage incident puts his son in critical condition, an enraged father spirals down a dark path of emotional turmoil and vengeance."
The Avengers,Science Fiction Action Adventure,Robert Downey Jr. Chris Evans Mark Ruffalo,Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
Rocky Aur Rani Kii Prem Kahaani,Comedy Drama Family Romance,Alia Bhatt Ranveer Singh Jaya Bachchan,Karan Johar,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?"
"""Wuthering Heights""",Romance Drama,Margot Robbie Jacob Elordi Hong Chau,Emerald Fennell,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England."
28 Years Later: The Bone Temple,Horror Thriller Science Fiction,Ralph Fiennes Jack O'Connell Alfie Williams,Nia DaCosta,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.
The Wrecking Crew,Action Comedy Crime Mystery,Dave Bautista Jason Momoa Temuera Morrison,Ángel Manuel Soto,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart."
Infiltrate,Action Thriller,Orphée Ladouceur-Nguyen Alain Moussi Tim Rozon,James Mark,"In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever."
Sundutan,Drama,Allison Ross Jade Esguerra Mark Dionisio,Rodante Pajemna Jr.,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?"
Hellfire,Action Thriller,Stephen Lang Harvey Keitel Scottie Thompson,Isaac Florentine,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.
Peaky Blinders: The Immortal Man,Crime Drama,Cillian Murphy Barry Keoghan Rebecca Ferguson,Tom Harper,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation."
Michael,Music Drama,Jaafar Jackson Colman Domingo Nia Long,Antoine Fuqua,"Discover the story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music, tracing his journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career."
Mercy,Science Fiction Action Thriller Crime,Chris Pratt Rebecca Ferguson Kali Reis,Timur Bekmambetov,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate."
The Drama,Romance Comedy Drama,Zendaya Robert Pattinson Mamoudou Athie,Kristoffer Borgli,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.
The Passion of the Christ,Drama,Jim Caviezel Maia Morgenstern Christo Jivkov,Mel Gibson,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.
Avengers: Infinity War,Adventure Action Science Fiction,Robert Downey Jr. Chris Evans Chris Hemsworth,Joe Russo,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
Predator: Badlands,Action Science Fiction Adventure,Elle Fanning Dimitrius Schuster-Koloamatangi Ravi Narayan,Dan Trachtenberg,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary."
Stepdaddy,Drama,Astrid Lee Christy Imperial Jamilla Obispo,Christopher Novabos,Emotions and intrigue run high in this titillating taboo family affair. Chloe and Nica are sisters who both find themselves in their own passionate love affairs with their stepdad Carl.
Nefeli,Romance,Rosana Caskan Alejandra Grepi Tania Moshito,Omiros Efstratiadis,"A beautiful woman is going to the island of Lesbos to rest, there she will meet two other beautiful young women and it will be great having sex with everyone."
The Godfather,Drama Crime,Marlon Brando Al Pacino James Caan,Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
The Deadly Little Mermaid,Horror,Elliott Eason Sophia Carroll Eleanor Mackenzie,Cameron Uzoka,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, he thinks he’s performed a miracle. But as she recovers within the walls of his secluded home, a series of unsettling events leads him to a terrifying realization: her presence is no coincidence. She is inextricably linked to the same watery grave that claimed his family years ago."
My Fault,Drama Romance Thriller,Nicole Wallace Gabriel Guevara Marta Hazas,Domingo González,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning."
JUJUTSU KAISEN: Execution,Animation Action Fantasy,Junya Enoki Megumi Ogata Koji Yusa,Shota Goshozono,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc."
Avengers: Endgame,Adventure Science Fiction Action,Robert Downey Jr. Chris Evans Mark Ruffalo,Joe Russo,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
The Shawshank Redemption,Drama Crime,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
Toaster,Comedy Crime Action,Rajkummar Rao Sanya Malhotra Archana Puran Singh,Vivek Daschaudary,Murder and chaos erupt when a miser becomes obsessed with a toaster he gave as a wedding gift.
Mardaani 3,Action Crime Thriller,Rani Mukerji Mallika Prasad Janki Bodiwala,Abhiraj Minawala,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive."
"Good Luck, Have Fun, Don't Die",Science Fiction Action Comedy,Sam Rockwell Juno Temple Haley Lu Richardson,Gore Verbinski,A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.
The Adolescent,Drama,Simone Signoret Francis Huster Laetitia Chauveau,Jeanne Moreau,"In the summer of 1939, 13-year-old Marie goes with her parents to visit her grandparents in a small town near Avignon. Marie discovers her femininity and falls for a young Jewish doctor, but he prefers Eva, Marie's mother."
Jurassic World Rebirth,Science Fiction Adventure Action,Scarlett Johansson Mahershala Ali Jonathan Bailey,Gareth Edwards,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades."
Kraken,Horror Action Thriller,Sara Khorami Mikkel Bratt Silset Ingvild Holthe Bygdnes,Pål Øie,"Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab."
Now You See Me: Now You Don't,Crime Thriller,Jesse Eisenberg Dominic Sessa Ariana Greenblatt,Ruben Fleischer,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet."
Dracula,Horror Fantasy Romance,Caleb Landry Jones Zoë Bleu Sidel Christoph Waltz,Luc Besson,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death."
Do Not Enter,Horror,Francesca Reale Nicholas Hamilton Adeline Rudolph,Marc Klasfeld,"A group of young explorers investigates an old abandoned hotel, only to encounter a strange supernatural being and a competing group looking for a legendary hidden treasure."
The Twilight Saga: Breaking Dawn - Part 1,Adventure Fantasy Romance,Kristen Stewart Robert Pattinson Taylor Lautner,Bill Condon,Bella Swan and Edward Cullen's honeymoon phase is abruptly disrupted by betrayals and unforeseen tragedies that endanger their world.
Hunting Season,Action Drama Thriller,Mel Gibson Shelley Hennig Jordi Mollà,Raja Collins,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive."
Lola's Secret,Drama Comedy Horror,Donatella Damiani Scott Coffey Gabriele Tinti,Bruno Gaburro,Young man has his dreams come true when the sexy new maid seduces him. But she also has a secret that leads to trouble.
After We Fell,Drama Romance,Josephine Langford Hero Fiennes Tiffin Carter Jenkins,Castille Landon,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family."
Inception,Action Science Fiction Adventure,Leonardo DiCaprio Joseph Gordon-Levitt Ken Watanabe,Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
Pulp Fiction,Thriller Crime Comedy,John Travolta Samuel L. Jackson Uma Thurman,Quentin Tarantino,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
Avatar,Science Fiction Action Adventure,Sam Worthington Zoe Saldaña Sigourney Weaver,James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
Osiris,Science Fiction Action Horror,Max Martini Brianna Hildebrand LaMonica Garrett,William Kaufman,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival."
Star Wars: The Last Jedi,Adventure Action Science Fiction,Mark Hamill Carrie Fisher Adam Driver,Rian Johnson,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
How to Make a Killing,Comedy Thriller,Glen Powell Margaret Qualley Jessica Henwick,John Patton Ford,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way."
Deadpool & Wolverine,Action Comedy Science Fiction,Ryan Reynolds Hugh Jackman Emma Corrin,Shawn Levy,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine."
Madness,Thriller Action Crime,Joe Dallesandro Patrizia Behn Gianni Macchia,Fernando Di Leo,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence."
Titanic,Drama Romance,Leonardo DiCaprio Kate Winslet Billy Zane,James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912."
Sinners,Horror Action Thriller,Michael B. Jordan Hailee Steinfeld Miles Caton,Ryan Coogler,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Ready or Not,Horror Comedy,Samara Weaving Mark O'Brien Adam Brody,Matt Bettinelli-Olpin,A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-and-seek.
Dhurandhar: The Revenge,Action Crime Thriller,Ranveer Singh Arjun Rampal R. Madhavan,Aditya Dhar,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari."
KPop Demon Hunters,Fantasy Music Comedy Animation,Arden Cho May Hong Ji-young Yoo,Maggie Kang,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats."
In Your Dreams,Animation Family Comedy Adventure Fantasy,Jolie Hoang-Rappaport Elias Janssen Simu Liu,Alexander Woo,Stevie and her little brother Elliot journey into the wildly absurd landscape of their own dreams to ask the Sandman to grant them the perfect family.
